Koodi,Laji,LuokkaID,Luokka,mean,median,max,xmod,mod_asym,lscale,rscale,xmod_avdia,scaled_avdia
10,Männyt,1,MANTY,18.79,19,49.8,6.0,1.00,8.00,8.00,0.12,6.23
11,Mänty,1,MANTY,18.79,19,49.8,6.0,1.00,8.00,8.00,0.12,6.23
12,Kontortamänty,1,MANTY,18.79,19,49.8,6.0,1.00,8.00,8.00,0.12,6.23
13,Mänty kelottunut,1,MANTY,18.79,19,49.8,6.0,1.00,8.00,8.00,0.12,6.23
14,Sembramänty,1,MANTY,18.79,19,49.8,6.0,1.00,8.00,8.00,0.12,6.23
20,Kuuset,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
21,Kuusi,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
22,Kuusi kelottunut,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
23,Mustakuusi,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
24,Lännenpihta,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
25,Siperianpihta,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
26,Douglaskuusi,2,KUUSI,17.14,18,49,4.0,1.00,6.00,6.00,0.08,8.17
30,Koivut,3,KOIVU,15.4,15,45,0.0,1.00,4.00,4.00,0,11.25
31,Rauduskoivu,3,KOIVU,15.4,15,45,0.0,1.00,4.00,4.00,0,11.25
32,Hieskoivu,3,KOIVU,15.4,15,45,0.0,1.00,4.00,4.00,0,11.25
33,Tunturikoivu,3,KOIVU,15.4,15,45,0.0,1.00,4.00,4.00,0,11.25
34,Visakoivu,3,KOIVU,15.4,15,45,0.0,1.00,4.00,4.00,0,11.25
40,Haapa,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
50,Lepät,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
51,Harmaaleppä,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
52,Tervaleppä,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
60,Muut lehtipuut,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
61,Raita,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
62,Pihlaja,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
63,Pajut,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
64,Pähkinäpensas,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
65,Tuomi,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
66,Oratuomi,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
67,Muut pihlajat,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
68,Metsäomenapuu,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
90,Jalot lehtipuut,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
91,Tammi,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
92,Vaahtera,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
93,Saarni,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
94,Lehmus,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
95,Kynäjalava,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
96,Vuorijalava,4,MLP,13.68,13,60,-1.0,1.00,4,4,-0.02,15
